,certificate,genre,gross,id,imdb_rating,metascore,runtime,title,votes,year
0,PG,"['Animation', 'Action', 'Adventure']",189936471.0,tt4633694,8.5,87.0,117 min,Spider-Man: Into the Spider-Verse,160975.0,['2018']
1,PG-13,"['Action', 'Adventure', 'Fantasy']",334826690.0,tt1477834,7.2,55.0,143 min,Aquaman,211622.0,['2018']
2,R,"['Crime', 'Drama', 'Thriller']",103804407.0,tt7959026,7.1,58.0,116 min,The Mule,32910.0,['2018']
3,PG-13,"['Biography', 'Comedy', 'Drama']",84068561.0,tt6966692,8.3,69.0,130 min,Green Book,158958.0,['2018']
4,PG-13,"['Biography', 'Drama', 'Music']",215983200.0,tt1727824,8.1,49.0,134 min,Bohemian Rhapsody,311167.0,['2018']
5,PG-13,"['Adventure', 'Family', 'Fantasy']",159555901.0,tt4123430,6.7,52.0,134 min,Fantastic Beasts: The Crimes of Grindelwald,144529.0,['2018']
6,PG-13,"['Action', 'Adventure', 'Sci-Fi']",678815482.0,tt4154756,8.5,68.0,149 min,Avengers: Infinity War,609674.0,['2018']
7,PG-13,"['Action', 'Adventure', 'Sci-Fi']",127195589.0,tt4701182,7.0,66.0,114 min,Bumblebee,66418.0,['2018']
8,R,"['Drama', 'Music', 'Romance']",215252091.0,tt1517451,7.8,88.0,136 min,A Star Is Born,223942.0,['2018']
9,R,"['Action', 'Crime', 'Drama']",,tt6491178,7.4,63.0,159 min,Dragged Across Concrete,4566.0,['2018']
10,PG,"['Comedy', 'Family', 'Fantasy']",171842327.0,tt5028340,7.0,66.0,130 min,Mary Poppins Returns,41196.0,['2018']
11,R,"['Biography', 'Comedy', 'Drama']",34162544.0,tt5083738,7.7,90.0,119 min,The Favourite,98533.0,['2018']
12,R,"['Action', 'Adventure', 'Comedy']",324591735.0,tt5463162,7.8,66.0,119 min,Deadpool 2,365924.0,['2018']
13,PG-13,"['Action', 'Adventure', 'Fantasy']",15951040.0,tt1571234,6.2,44.0,128 min,Mortal Engines,55087.0,['2018']
14,PG-13,"['Comedy', 'Drama']",67363237.0,tt7401588,7.4,57.0,118 min,Instant Family,34017.0,['2018']
15,R,"['Biography', 'Comedy', 'Drama']",47823561.0,tt6266538,7.2,61.0,132 min,Vice,53610.0,['2018']
16,PG,"['Biography', 'Comedy', 'Drama']",5392227.0,tt3385524,7.4,75.0,98 min,Stan & Ollie,10597.0,['2018']
17,PG-13,"['Action', 'Adventure', 'Sci-Fi']",700059566.0,tt1825683,7.3,88.0,134 min,Black Panther,484940.0,['2018']
18,R,"['Drama', 'History', 'Thriller']",103423.0,tt5461944,7.2,62.0,123 min,Hotel Mumbai,1236.0,['2018']
19,PG-13,"['Action', 'Adventure', 'Sci-Fi']",417719760.0,tt4881806,6.2,51.0,128 min,Jurassic World: Fallen Kingdom,206637.0,['2018']
20,PG-13,"['Drama', 'Sport']",115715889.0,tt6343314,7.3,66.0,130 min,Creed II,60463.0,['2018']
21,R,"['Biography', 'Crime', 'Drama']",48686605.0,tt7349662,7.5,83.0,135 min,BlacKkKlansman,130312.0,['2018']
22,PG,"['Animation', 'Adventure', 'Comedy']",200989379.0,tt5848272,7.2,71.0,111 min,Ralph Breaks the Internet,71358.0,['2018']
23,R,"['Action', 'Adventure', 'Horror']",21704844.0,tt4530422,6.7,60.0,110 min,Overlord,47595.0,['2018']
24,PG-13,"['Adventure', 'Comedy', 'Crime']",30573626.0,tt1255919,3.6,24.0,90 min,Holmes & Watson,11467.0,['2018']
25,R,"['Drama', 'Horror', 'Music']",744904.0,tt8359848,7.3,67.0,97 min,Climax,19293.0,['2018']
26,PG,"['Animation', 'Adventure', 'Comedy']",99215042.0,tt4575576,7.4,60.0,104 min,Christopher Robin,47036.0,['2018']
27,Not Rated,"['Action', 'Fantasy', 'Horror']",1214525.0,tt6998518,6.6,81.0,121 min,Mandy,40620.0,['2018']
28,R,"['Fantasy', 'Horror', 'Mystery']",2474044.0,tt1034415,6.9,64.0,152 min,Suspiria,29603.0,['2018']
29,R,"['Drama', 'Romance', 'Sci-Fi']",,tt5215088,6.4,,85 min,A.I. Rising,4705.0,['2018']
30,R,"['Drama', 'Horror', 'Mystery']",44069456.0,tt7784604,7.3,87.0,127 min,Hereditary,139817.0,['2018']
31,R,"['Biography', 'Drama', 'History']",16468499.0,tt2328900,6.3,60.0,124 min,Mary Queen of Scots,19112.0,['2018']
32,PG-13,"['Action', 'Comedy', 'Crime']",139377762.0,tt5164214,6.2,61.0,110 min,Ocean's 8,134499.0,['2018']
33,R,"['Crime', 'Drama', 'Thriller']",42402632.0,tt4218572,7.0,84.0,129 min,Widows,53579.0,['2018']
34,PG-13,"['Action', 'Adventure', 'Thriller']",30824628.0,tt4532826,5.3,32.0,116 min,Robin Hood,34855.0,['2018']
35,PG-13,"['Action', 'Adventure', 'Comedy']",216648740.0,tt5095030,7.1,70.0,118 min,Ant-Man and the Wasp,212625.0,['2018']
36,R,"['Crime', 'Romance']",,tt6032328,6.3,56.0,91 min,Finding Steve McQueen,682.0,['2018']
37,R,"['Comedy', 'Crime', 'Drama']",53542417.0,tt7040874,6.9,67.0,117 min,A Simple Favor,75532.0,['2018']
38,PG-13,"['Comedy', 'Romance']",174532921.0,tt3104988,7.0,74.0,120 min,Crazy Rich Asians,84963.0,['2018']
39,PG-13,"['Action', 'Sci-Fi', 'Thriller']",213515506.0,tt1270797,6.8,35.0,112 min,Venom,251211.0,['2018']
40,R,"['Action', 'Horror', 'Sci-Fi']",69086325.0,tt6133466,5.1,54.0,98 min,The First Purge,38411.0,['2018']
41,R,"['Drama', 'Horror', 'Sci-Fi']",,tt2737304,6.7,51.0,124 min,Bird Box,201018.0,['2018']
42,PG-13,"['Action', 'Drama', 'History']",,tt4951982,6.6,53.0,117 min,Kursk,4313.0,['2018']
43,,"['Action', 'Crime']",,tt7262882,6.6,,107 min,Ye wen wai zhuan: Zhang tian zhi,1498.0,['2018']
44,PG-13,"['Biography', 'Drama', 'History']",44936545.0,tt1213641,7.4,84.0,141 min,First Man,108986.0,['2018']
45,PG-13,"['Action', 'Adventure', 'Fantasy']",213767512.0,tt3778644,7.0,62.0,135 min,Solo: A Star Wars Story,213416.0,['2018']
46,PG-13,"['Action', 'Adventure', 'Sci-Fi']",137690172.0,tt1677720,7.5,64.0,140 min,Ready Player One,289237.0,['2018']
47,R,['Drama'],,tt6155172,7.8,96.0,135 min,Roma,98505.0,['2018']
48,R,"['Crime', 'Drama', 'Mystery']",17839115.0,tt6628394,7.1,60.0,141 min,Bad Times at the El Royale,75314.0,['2018']
49,R,['Comedy'],54547470.0,tt2854926,6.6,56.0,100 min,Tag,76521.0,['2018']
50,R,"['Action', 'Crime', 'Drama']",1533324.0,tt7137380,6.5,62.0,121 min,Destroyer,6276.0,['2018']
51,R,"['Comedy', 'Drama', 'Musical']",,tt6412452,7.3,79.0,133 min,The Ballad of Buster Scruggs,80062.0,['2018']
52,R,"['Drama', 'Horror', 'Mystery']",10460680.0,tt2639336,6.2,53.0,98 min,Greta,3069.0,['2018']
53,PG,"['Animation', 'Action', 'Adventure']",608581744.0,tt3606756,7.7,80.0,118 min,Incredibles 2,189433.0,['2018']
54,PG-13,"['Action', 'Drama', 'Thriller']",6235.0,tt6523720,6.2,70.0,106 min,Skjelvet,4210.0,['2018']
55,R,"['Adventure', 'Drama', 'Horror']",32732301.0,tt2798920,6.9,79.0,115 min,Annihilation,218905.0,['2018']
56,R,['Drama'],,tt8254556,7.2,73.0,105 min,Girl,5517.0,['2018']
57,PG-13,"['Drama', 'Horror', 'Mystery']",188024361.0,tt6644200,7.6,82.0,90 min,A Quiet Place,286904.0,['2018']
58,R,"['Drama', 'Romance']",14889833.0,tt7125860,7.3,87.0,119 min,If Beale Street Could Talk,19515.0,['2018']
59,PG-13,"['Comedy', 'Drama', 'Romance']",39282227.0,tt2126357,5.8,46.0,103 min,Second Act,9165.0,['2018']
60,R,"['Drama', 'Music', 'Romance']",4557943.0,tt6543652,7.7,90.0,89 min,Cold War,29459.0,['2018']
61,PG-13,"['Action', 'Adventure', 'Thriller']",220159104.0,tt4912910,7.8,86.0,147 min,Mission: Impossible - Fallout,222041.0,['2018']
62,R,['Drama'],1564811.0,tt8267604,8.4,75.0,126 min,Capharnaüm,12443.0,['2018']
63,R,"['Action', 'Comedy', 'Crime']",1959204.0,tt6205872,5.9,56.0,108 min,Assassination Nation,7602.0,['2018']
64,R,"['Comedy', 'Drama', 'Romance']",2750917.0,tt6902696,6.8,80.0,102 min,Gloria Bell,992.0,['2018']
65,TV-MA,"['Drama', 'Romance', 'Thriller']",,tt6908274,7.6,,128 min,Durante la tormenta,4830.0,['2018']
66,,['Sci-Fi'],,tt4006302,5.9,46.0,102 min,Level 16,1063.0,['2018']
67,PG-13,"['Drama', 'Mystery', 'Thriller']",26020957.0,tt7668870,7.7,71.0,102 min,Searching,87128.0,['2018']
68,R,"['Crime', 'Drama', 'Mystery']",2580695.0,tt4964788,7.0,68.0,133 min,Everybody Knows,14817.0,['2018']
69,R,"['Action', 'Crime', 'Drama']",14841338.0,tt5177088,6.1,43.0,117 min,The Girl in the Spider's Web,23809.0,['2018']
70,R,"['Crime', 'Drama', 'Horror']",87008.0,tt4003440,6.9,42.0,152 min,The House That Jack Built,30389.0,['2018']
71,R,"['Action', 'Thriller']",15767460.0,tt1846589,6.6,43.0,122 min,Hunter Killer,29295.0,['2018']
