,certificate,genre,gross,imdb_rating,metascore,runtime,title,votes,year
0,,"['Comedy', 'Drama']",,,,,Once Upon a Time in Hollywood,,['2019']
1,R,"['Horror', 'Thriller']",85106185.0,7.5,81.0,116 min,Us,34906.0,['2019']
2,PG-13,"['Action', 'Adventure', 'Sci-Fi']",327977294.0,7.2,64.0,123 min,Captain Marvel,191434.0,['2019']
3,R,"['Action', 'Adventure', 'Crime']",,6.5,61.0,125 min,Triple Frontier,47449.0,['2019']
4,,"['Action', 'Adventure', 'Fantasy']",,,,182 min,Avengers: Endgame,,['2019']
5,TV-MA,"['Biography', 'Comedy', 'Drama']",,7.1,37.0,107 min,The Dirt,11686.0,['2019']
6,,"['Animation', 'Adventure', 'Comedy']",,,,,Toy Story 4,,['2019']
7,PG-13,"['Drama', 'Romance']",28145448.0,7.1,53.0,116 min,Five Feet Apart,2809.0,['2019']
8,R,"['Horror', 'Thriller']",,7.3,71.0,101 min,Pet Sematary,491.0,['2019']
9,PG-13,"['Sci-Fi', 'Thriller']",5582120.0,5.7,53.0,109 min,Captive State,1837.0,['2019']
10,PG,"['Family', 'Fantasy']",,7.1,54.0,112 min,Dumbo,923.0,['2019']
11,PG-13,"['Action', 'Adventure', 'Comedy']",,8.2,75.0,132 min,Shazam!,875.0,['2019']
12,PG-13,"['Action', 'Adventure', 'Romance']",84153257.0,7.6,54.0,122 min,Alita: Battle Angel,78865.0,['2019']
13,,"['Action', 'Thriller']",,,,,John Wick: Chapter 3 - Parabellum,,['2019']
14,,"['Crime', 'Drama', 'Thriller']",,,,,Joker,,['2019']
15,,"['Adventure', 'Comedy', 'Family']",,,,,Aladdin,,['2019']
16,,"['Drama', 'Romance']",,,,,After,,['2019']
17,,"['Drama', 'Sci-Fi']",,,,,Lucy in the Sky,,['2019']
18,R,"['Action', 'Adventure', 'Fantasy']",,,,,Hellboy,,['2019']
19,PG,"['Animation', 'Action', 'Adventure']",147460290.0,7.9,71.0,104 min,How to Train Your Dragon: The Hidden World,32222.0,['2019']
20,,"['Action', 'Adventure', 'Sci-Fi']",,,,,Terminator: Dark Fate,,['2019']
21,PG,"['Animation', 'Adventure', 'Comedy']",31420123.0,5.7,46.0,85 min,Wonder Park,1031.0,['2019']
22,PG-13,"['Biography', 'Comedy', 'Drama']",22130343.0,7.5,68.0,108 min,Fighting with My Family,10402.0,['2019']
23,R,['Comedy'],,6.0,56.0,95 min,The Beach Bum,388.0,['2019']
24,PG-13,"['Comedy', 'Fantasy', 'Romance']",47691683.0,6.0,60.0,89 min,Isn't It Romantic,29927.0,['2019']
25,,"['Action', 'Adventure', 'Comedy']",,,,,Spider-Man: Far From Home,,['2019']
26,R,"['Crime', 'Drama', 'Mystery']",,7.2,58.0,132 min,The Highwaymen,187.0,['2019']
27,,"['Adventure', 'Family']",,,,,Dora and the Lost City of Gold,,['2019']
28,,"['Action', 'Adventure', 'Sci-Fi']",,,,,Dark Phoenix,,['2019']
29,,"['Biography', 'Crime', 'Drama']",,,,,The Irishman,,['2019']
30,,"['Crime', 'Drama', 'Mystery']",1313740.0,8.3,,118 min,Badla,5359.0,['2019']
31,R,"['Action', 'Drama', 'Thriller']",,5.6,62.0,100 min,Never Grow Old,473.0,['2019']
32,PG,"['Animation', 'Action', 'Adventure']",103762494.0,6.9,65.0,107 min,The Lego Movie 2: The Second Part,20272.0,['2019']
33,,"['Horror', 'Thriller']",,,,,It: Chapter Two,,['2019']
34,PG-13,"['Action', 'Adventure', 'Fantasy']",,,,,Godzilla: King of the Monsters,,['2019']
35,,"['Animation', 'Adventure', 'Drama']",,,,,The Lion King,,['2019']
36,TV-MA,"['Action', 'Crime', 'Drama']",,6.3,19.0,118 min,Polar,48140.0,['2019']
37,R,"['Horror', 'Mystery', 'Thriller']",,7.0,46.0,93 min,The Curse of La Llorona,166.0,['2019']
38,PG-13,"['Drama', 'Horror', 'Mystery']",27892355.0,6.5,57.0,100 min,Happy Death Day 2U,13821.0,['2019']
39,R,"['Action', 'Thriller']",73409.0,5.9,,96 min,Triple Threat,1954.0,['2019']
40,R,['Comedy'],,6.9,52.0,95 min,Good Boys,134.0,['2019']
41,PG-13,"['Drama', 'Sci-Fi', 'Thriller']",110861630.0,7.0,42.0,129 min,Glass,72984.0,['2019']
42,Not Rated,"['Action', 'Drama', 'History']",,8.1,,150 min,Kesari,3313.0,['2019']
43,R,"['Drama', 'Romance', 'War']",224705.0,6.1,43.0,108 min,The Aftermath,994.0,['2019']
44,,"['Action', 'Adventure', 'Thriller']",,,,,Rambo V: Last Blood,,['2019']
45,R,"['Drama', 'Mystery', 'Sci-Fi']",8543442.0,5.3,37.0,106 min,Serenity,12565.0,['2019']
46,,"['Action', 'Adventure', 'Fantasy']",,,,,Star Wars: Episode IX,,['2019']
47,,"['Comedy', 'Drama', 'Musical']",,7.0,,112 min,Fisherman's Friends,672.0,['2019']
48,R,['Drama'],,,,106 min,Unplanned,,['2019']
49,,"['Biography', 'Drama', 'Fantasy']",,,,,Rocketman,,['2019']
50,,"['Drama', 'Horror', 'Sci-Fi']",,,,,Brightburn,,['2019']
51,PG-13,['Comedy'],66688573.0,4.2,39.0,109 min,A Madea Family Funeral,1340.0,['2019']
52,PG,"['Action', 'Adventure', 'Comedy']",,,,,Pokémon Detective Pikachu,,['2019']
53,,"['Comedy', 'Romance']",,7.2,72.0,125 min,Long Shot,153.0,['2019']
54,R,"['Action', 'Crime', 'Drama']",31854994.0,6.5,57.0,119 min,Cold Pursuit,11810.0,['2019']
55,TV-PG,['Drama'],,7.6,68.0,113 min,The Boy Who Harnessed the Wind,6512.0,['2019']
56,PG-13,"['Action', 'Adventure', 'Drama']",56706157.0,6.4,48.0,99 min,Escape Room,14805.0,['2019']
57,,"['Action', 'Adventure']",,,,,Fast & Furious Presents: Hobbs & Shaw,,['2019']
58,,"['Action', 'Comedy', 'Sci-Fi']",,,,,Men in Black: International,,['2019']
59,R,"['Comedy', 'Fantasy', 'Romance']",54136831.0,4.6,49.0,117 min,What Men Want,4536.0,['2019']
60,R,"['Biography', 'Crime', 'Drama']",,7.5,60.0,108 min,"Extremely Wicked, Shockingly Evil, and Vile",562.0,['2019']
61,,"['Action', 'Comedy', 'Horror']",,,,,Zombieland: Double Tap,,['2019']
62,,"['Biography', 'Drama', 'Mystery']",,7.9,,124 min,The Professor and the Madman,274.0,['2019']
63,,['Action'],,4.6,,92 min,The Hard Way,731.0,['2019']
64,PG-13,"['Biography', 'Drama']",,,,,Tolkien,,['2019']
65,,"['Drama', 'Horror', 'Mystery']",,,,,Midsommar,,['2019']
66,PG,"['Adventure', 'Drama', 'Family']",41952715.0,6.6,50.0,96 min,A Dog's Way Home,3079.0,['2019']
67,,"['Animation', 'Action', 'Adventure']",,,,,Sonic the Hedgehog,,['2019']
68,R,"['Biography', 'Drama', 'Western']",1376796.0,6.5,51.0,100 min,The Kid,453.0,['2019']
69,,['Horror'],,,,,Child's Play,,['2019']
70,R,"['Horror', 'Mystery', 'Thriller']",,5.7,61.0,113 min,Velvet Buzzsaw,35779.0,['2019']
71,PG,"['Crime', 'Drama', 'Family']",,5.9,55.0,89 min,Nancy Drew and the Hidden Staircase,287.0,['2019']
72,,['Comedy'],,6.4,86.0,105 min,Booksmart,99.0,['2019']
73,,"['Action', 'Biography', 'Drama']",,,,,Ip Man 4,,['2019']
74,PG,"['Action', 'Adventure', 'Family']",16781373.0,6.3,66.0,120 min,The Kid Who Would Be King,3357.0,['2019']
75,,"['Adventure', 'Drama', 'Mystery']",,,,,Ad Astra,,['2019']
76,PG-13,"['Comedy', 'Drama', 'Fantasy']",,,,112 min,Yesterday,,['2019']
77,,"['Adventure', 'Family', 'Fantasy']",,,,,Maleficent: Mistress of Evil,,['2019']
78,PG-13,"['Comedy', 'Fantasy']",,,,,Little,,['2019']
79,,"['Action', 'Horror', 'Sci-Fi']",,,,,The New Mutants,,['2019']
80,Not Rated,"['Action', 'Drama', 'War']",4185825.0,8.8,,138 min,Uri: The Surgical Strike,26457.0,['2019']
81,R,"['Horror', 'Thriller']",14830814.0,6.0,45.0,92 min,The Prodigy,3931.0,['2019']
82,R,['Drama'],363780.0,7.5,76.0,96 min,The Mustang,240.0,['2019']
83,PG,"['Animation', 'Adventure', 'Comedy']",,,,95 min,Missing Link,,['2019']
84,R,"['Horror', 'Thriller']",,,,,Ma,,['2019']
85,R,"['Drama', 'Horror', 'Thriller']",,,,,The Haunting of Sharon Tate,,['2019']
86,TV-PG,['Drama'],,6.4,,100 min,Walk. Ride. Rodeo.,765.0,['2019']
87,R,['Comedy'],6939206.0,5.2,,102 min,No Manches Frida 2,80.0,['2019']
88,R,['Horror'],21072.0,5.7,63.0,90 min,The Hole in the Ground,3130.0,['2019']
89,PG,"['Biography', 'Drama']",,,,116 min,Breakthrough,,['2019']
90,PG-13,['Comedy'],,,,,The Hustle,,['2019']
91,,"['Animation', 'Adventure', 'Comedy']",,,,,Frozen II,,['2019']
92,TV-MA,['Drama'],,6.1,,90 min,Juanita,1186.0,['2019']
93,,['Horror'],,,,,Charles,,['2019']
94,TV-14,"['Adventure', 'Drama', 'Romance']",,4.7,40.0,96 min,IO,22704.0,['2019']
95,,"['Drama', 'Romance']",,,,,Little Women,,['2019']
96,,"['Action', 'Adventure', 'Comedy']",,,,,Charlie's Angels,,['2019']
